"Language Packs","Paquetes de idioma"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Atención: Su paquete de idioma no coincide con la versión de Magento. Obtenga más información <a href='%s'>aquí</a>."
"Colombia","Colombia"
"Spanish (Colombia)","Español (Colombia)"
"Spanish language package es_CO - Community Edition (CE)","Paquete de idioma español es_CO - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","El paquete de idioma <span style='color:red'>%s</span> en la versión <span style='color:red'>%s</span> se ha instalado correctamente."
"On the <a href='%s'>Magento Connect page of the Spanish language pack</a>, you can find more information on the latest versions.","En la <a href='%s'>Página principal de extensión del paquete de idioma Español</a> usted puede encontrar más información sobre las últimas versiones."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Para los interesados hay un <a href='%s'>repositorio de GitHub</a>. Se suministra con los siguientes fines:"
"Development of current language pack versions","Desarrollo de las versiones lingüísticas de corriente de carga"
"Report an error / send in patches, also happy for both published releases","Señalar un error / enviar parches, también feliz para ambas publicaciones liberados"
"Alternative Downloads (regardless of official sources)","Descargas alternativos (sin tener en cuenta las fuentes oficiales)"
"Copy / forks for their own purposes","Copiar / horquillas para sus propios fines"
"Active participation in the language pack","Participación activa en el paquete de idioma"
"View Preview versions & test","Ver y probar las versiones de vista previa"
"Note for detailed information, the README file on the GitHub page.","Nota: Para obtener información detallada, el archivo LEAME/README en la página de GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Con el fin de asegurar la cobertura de traducción Magento, por favor consulte la información de los párrafos más abajo!"
"powered by","proporcionado por"
"and","y"
"Using your own translations","Usando sus propias traducciones"
"Recommended extensions","Extensiones recomendadas"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","El paquete de idioma instalado sólo ofrece traducciones de los textos existentes en Magento. Si desea preparar su tienda Magento en los requisitos legales en %s o ampliar los métodos de pago comunes, entonces le recomendamos que instale las siguientes extensiones adicionales."
"Specific market adjustment for","Ajustes al mercado específico de"
"Colombian and Latin American stores","las tiendas colombianas y latinoamericanas"
"Currently not available","Actualmente no disponible"
"Note: Install the extension %s, so you can use %s as a <a href='%s'>fallback language</a>.","<b>Nota:</b> Instale la extensión %s, para que pueda utilizar <span style='color:red; font-weight:bold;'>%s</span> como <a href='%s'>idioma de segunda opción</a>."
"Note: Install the language package %s to use it as a <a href='%s'>fallback language</a>.","<b>Nota:</b> Instale el paquete de idioma %s, para usarlo como <a href='%s'>idioma de segunda opción</a>."
"Common payment methods","Métodos de pago comunes"
"Debit / direct debit","Débito / débito directo"
"Cash On Delivery","Contra reembolso"
"Payment in Advance","Pago por adelantado"
"Extension Key for the","Clave de extensión para el"
"on","a"
